def leppard,2012-10-22,1,8.234519E-5
duran duran,2012-10-22,1,8.234519E-5
eric church,2012-10-22,26,0.0021409749
evanescence,2012-10-22,6,4.9407117E-4
fiona apple,2012-10-22,1,8.234519E-5
frank zappa,2012-10-22,1,8.234519E-5
imogen heap,2012-10-22,1,8.234519E-5
iron maiden,2012-10-22,4,3.2938077E-4
james blunt,2012-10-22,7,5.764163E-4
james brown,2012-10-22,3,2.4703558E-4
knife party,2012-10-22,9,7.411067E-4
lacuna coil,2012-10-22,1,8.234519E-5
leann rimes,2012-10-22,1,8.234519E-5
linkin park,2012-10-22,12,9.881423E-4
major lazer,2012-10-22,8,6.5876154E-4
mike posner,2012-10-22,8,6.5876154E-4
miles davis,2012-10-22,1,8.234519E-5
nicki minaj,2012-10-22,100,0.0082345195
onerepublic,2012-10-22,2,1.6469038E-4
peeping tom,2012-10-22,3,2.4703558E-4
purity ring,2012-10-22,4,3.2938077E-4
sex pistols,2012-10-22,2,1.6469038E-4
sheryl crow,2012-10-22,4,3.2938077E-4
smash mouth,2012-10-22,1,8.234519E-5
snow patrol,2012-10-22,5,4.1172595E-4
sonic youth,2012-10-22,1,8.234519E-5
soundgarden,2012-10-22,2,1.6469038E-4
spice girls,2012-10-22,8,6.5876154E-4
steve earle,2012-10-22,1,8.234519E-5
tenacious d,2012-10-22,1,8.234519E-5
the beatles,2012-10-22,20,0.0016469038
beck,2012-10-22,10,8.234519E-4
the killers,2012-10-22,11,9.057971E-4
the prodigy,2012-10-22,1,8.234519E-5
adam lambert,2012-10-22,6,4.9407117E-4
alice cooper,2012-10-22,3,2.4703558E-4
beastie boys,2012-10-22,8,6.5876154E-4
citizen cope,2012-10-22,3,2.4703558E-4
daddy yankee,2012-10-22,5,4.1172595E-4
david guetta,2012-10-22,7,5.764163E-4
depeche mode,2012-10-22,1,8.234519E-5
dustin lynch,2012-10-22,3,2.4703558E-4
foo fighters,2012-10-22,6,4.9407117E-4
generation x,2012-10-22,1,8.234519E-5
gwen stefani,2012-10-22,2,1.6469038E-4
hunter hayes,2012-10-22,98,0.008069829
james taylor,2012-10-22,1,8.234519E-5
janis joplin,2012-10-22,3,2.4703558E-4
jason aldean,2012-10-22,88,0.007246377
jeff buckley,2012-10-22,1,8.234519E-5
jeffree star,2012-10-22,3,2.4703558E-4
jimi hendrix,2012-10-22,3,2.4703558E-4
joy division,2012-10-22,3,2.4703558E-4
justin moore,2012-10-22,6,4.9407117E-4
keyshia cole,2012-10-22,22,0.0018115942
king crimson,2012-10-22,1,8.234519E-5
led zeppelin,2012-10-22,9,7.411067E-4
lostprophets,2012-10-22,1,8.234519E-5
modest mouse,2012-10-22,15,0.0012351779
parov stelar,2012-10-22,2,1.6469038E-4
phil collins,2012-10-22,5,4.1172595E-4
prince royce,2012-10-22,12,9.881423E-4
public enemy,2012-10-22,2,1.6469038E-4
romeo santos,2012-10-22,8,6.5876154E-4
